substrate,distance_cm,distance_m,cover_space_cm,percent_type
light_debris,18905,189.05,2540,4.92%
heavy_debris,11640,116.40,5235,3.03%
light_mixed,60300,603.00,9705,15.68%
heavy_mixed,170815,1708.15,160095,44.43%
light_veg,51590,515.90,4985,13.42%
heavy_veg,7495,74.95,5830,1.95%
sand,63745,637.45,530,16.58%
